Restoran Adı,Puan,Teslimat Süresi,Min. Tutar,Mutfak,Fiyat Aralığı,Minimum Tutar,Teslimat Ücreti,Minimum Sipariş,Mutfak Tipi,degerlendirme
Döner Mi Döner (Ayazağa),2025-08-04 00:00:00,25-35dk,150 TL,Döner,,,,,,(5+)
Sadıkoğlu Döner Ve Taş Fırın (Seyrantepe),2025-03-04 00:00:00,20-30dk,800 TL,Sokak Lezzetleri,,,,,,(500+)
Öncü Döner (Çeliktepe),2025-08-03 00:00:00,25-35dk,200 TL,Döner,,,,,,(1300+)
Dönerci Hasan Usta (Levent),,50-60dk,2.200 TL,Döner,,,,,,
Etibol Döner & Lahmacun (Merkez),2025-05-04 00:00:00,30-40dk,1.500 TL,Döner,,,,,,(1300+)
Usta Dönerci (Huzur),,30-40dk,170 TL,Döner,,,,,,
İkram Döner (Ayazağa),2025-06-04 00:00:00,25-35dk,100 TL,Döner,,,,,,(4000+)
Dönerci Ozan Başkan (Emniyet Evleri),2025-02-03 00:00:00,30-40dk,120 TL,Döner,,,,,,(750+)
Dönerci Ali Usta Sarıyer (Ferahevler),2025-09-03 00:00:00,45-55dk,750 TL,Döner,,,,,,(60+)
Gurmeden (Poligon),,25-35dk,80 TL,Tost & Sandviç,,,,,,
Günaydın Köfte & Döner (Maslak),2025-03-04 00:00:00,50-60dk,350 TL,Döner,,,,,,(1300+)
Tasty Food And Coffee (Sultan Selim),,30-40dk,120 TL,Döner,,,,,,
Dönerbey (Huzur),2025-04-04 00:00:00,50-60dk,750 TL,Döner,,,,,,(600+)
Döner Ağacı Maslak (Maslak),2025-06-04 00:00:00,25-35dk,500 TL,Döner,,,,,,(150+)
Pizza Coco Pazzo,2025-06-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,900 TL,Ücretsiz,,,(500+)
Pizza Bulls,2025-01-04 00:00:00,30–45 min,,Pizza,Orta fiyat aralığı,"299,90 TL",Ücretsiz,,,(4000+)
Domino&apos;s Pizza,2025-07-03 00:00:00,20–35 min,,Pizza,Orta fiyat aralığı,300 TL,Ücretsiz,,,(35000+)
Elif Pizza,2025-05-03 00:00:00,15–25 min,,Pizza,,300 TL,"15,99 TL",,,-39
Little Caesars Pizza,2025-06-03 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,300 TL,Ücretsiz,,,(45000+)
Hero&apos;s Pizza,2025-01-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,200 TL,Ücretsiz,,,(1000+)
Limos Pizza,2025-04-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,700 TL,Ücretsiz,,,(15000+)
Milano Pizza,2025-02-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,500 TL,Ücretsiz,,,(15000+)
Pizzam Express,2025-02-03 00:00:00,20–30 min,,Pizza,Orta fiyat aralığı,300 TL,"25,99 TL",,,(100+)
Pizza Roma,2025-04-04 00:00:00,25–40 min,,Pizza,Orta fiyat aralığı,700 TL,Ücretsiz,,,(100+)
Pasaport Pizza,2025-07-02 00:00:00,30–40 min,,Pizza,Yüksek fiyat aralığı,300 TL,"14,99 TL",,,(100+)
Pizza Coo,4,15–25 min,,Pizza,,300 TL,"25,99 TL",,,-71
Pizza Station,3,15–25 min,,Pizza,Orta fiyat aralığı,300 TL,"25,99 TL",,,(3000+)
Pizza Darts,2025-08-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(2000+)
Antepli Dayı Kürek Pizza,2025-04-04 00:00:00,25–40 min,,Pizza,,110 TL,Ücretsiz,,,-15
Express pide pizza,2025-02-04 00:00:00,40–60 min,,Pizza,Orta fiyat aralığı,50 TL,Ücretsiz,,,(100+)
Pizza Dart,2025-08-04 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(100+)
Fast Pizza,2025-04-03 00:00:00,40–60 min,,Pizza,Orta fiyat aralığı,3.000 TL,Ücretsiz,,,(100+)
Pizza Bianca Italiano,2025-08-04 00:00:00,30–45 min,,Pizza,,1.500 TL,Ücretsiz,,,-19
444 Pizza,2025-03-03 00:00:00,35–55 min,,Pizza,Yüksek fiyat aralığı,1.500 TL,Ücretsiz,,,(20000+)
Urfalı Hacı Usta Pizza,5,50–70 min,,Pizza,,0 TL,Ücretsiz,,,-9
Fera Gurme Mutfak,2025-04-04 00:00:00,20–35 min,,Dünya Mutfağı,Orta fiyat aralığı,700 TL,Ücretsiz,,,-85
F. Chef Italiano Pizza,2025-08-03 00:00:00,50–70 min,,Pizza,Yüksek fiyat aralığı,500 TL,Ücretsiz,,,-50
Aleo Italiano Pizza & Pasta,2025-05-03 00:00:00,25–40 min,,Pizza,Yüksek fiyat aralığı,600 TL,Ücretsiz,,,-33
Aleo Very Italiano,2025-03-04 00:00:00,25–40 min,,Makarna,Yüksek fiyat aralığı,0 TL,Ücretsiz,,,-54
Mh Pizza & Döner,2025-01-03 00:00:00,40–60 min,,Pizza,Yüksek fiyat aralığı,1.199 TL,Ücretsiz,,,(10000+)
Antep Pizza,4,30–40 min,,Pizza,Uygun fiyat aralığı,300 TL,"25,99 TL",,,-71
Öz Kekik Diyarı Pizza,2025-01-04 00:00:00,50–70 min,,Pizza,Orta fiyat aralığı,0 TL,Ücretsiz,,,(100+)
Abovv Pizza,2025-08-03 00:00:00,30–45 min,,Pizza,Uygun fiyat aralığı,400 TL,Ücretsiz,,,(100+)
Abba Pizza & Makarna,2025-05-03 00:00:00,20–35 min,,Pizza,Yüksek fiyat aralığı,600 TL,Ücretsiz,,,-11
Lezzet Molası,2025-08-04 00:00:00,15–30 min,,Tatlı,Orta fiyat aralığı,50 TL,Ücretsiz,,,-61
Çılgın Burger,,50–70 min,,Burger,,600 TL,Ücretsiz,,,
Ege&apos;den,2025-02-04 00:00:00,30–45 min,,Kebap & Türk Mutfağı,Orta fiyat aralığı,400 TL,Ücretsiz,,,(500+)
Napoli Pizza,,25–35 min,,Pizza,,300 TL,"25,99 TL",,,
Etiler Marmaris,2025-03-04 00:00:00,20–35 min,,Tost & Sandviç,Orta fiyat aralığı,200 TL,Ücretsiz,,,(70000+)
Reyhan Pizza,2025-08-03 00:00:00,15–30 min,,Pizza,Uygun fiyat aralığı,100 TL,Ücretsiz,,,-50
Asyam Pizza,2025-08-04 00:00:00,55–75 min,,Pizza,,0 TL,Ücretsiz,,,-32
Casalingo Pizza,,50–70 min,,Pizza,,750 TL,Ücretsiz,,,
Öz Mevlana Pide,2025-05-04 00:00:00,25–40 min,,Pide & Lahmacun,Uygun fiyat aralığı,70 TL,Ücretsiz,,,-62
Şahane Lahmacun & Kebap,2025-04-04 00:00:00,40–60 min,,Kebap & Türk Mutfağı,Orta fiyat aralığı,100 TL,Ücretsiz,,,-53
Öz Gaziantep Pide Lahmacun,2025-07-04 00:00:00,35–55 min,,Pide & Lahmacun,Yüksek fiyat aralığı,100 TL,Ücretsiz,,,(500+)
Kardelen Kebap,2025-09-03 00:00:00,45–65 min,,Kebap & Türk Mutfağı,Uygun fiyat aralığı,200 TL,Ücretsiz,,,(100+)
